"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","Sample","pc1_prop","pc2_prop"
"moss_Blood-Megakaryocytes",-78.3082628244861,35.3050924574461,-72.7677335764528,-18.981911071596,209.777645347991,14.3765069660732,-13.0419888791753,-0.97719967413999,-8.6428019454235,3.95210990569053,-1.24395041964817,1.4521636469083e-12,"Blood-Megakaryocytes",35.1,19.8
"loyfer_Blood-B",-90.2910704692729,-87.5406952647682,4.19619657271404,5.35163712199562,-4.35445251328644,-179.478691212064,-12.7764476047629,25.6775514341728,22.7852002767501,2.91074824266194,-4.76502257132932,1.9231185883066e-12,"Blood-B",35.1,19.8
"loyfer_Blood-Granulocytes",-175.437022131359,139.371332642219,142.30381837269,5.86658785940842,-28.4750429795353,50.9044343216952,-36.903127951927,88.9103706865471,-1.19721233057527,-7.63965065453703,-7.84518991493161,-1.65894355825801e-12,"Blood-Granulocytes",35.1,19.8
"loyfer_Blood-Monocytes",-173.160675716647,112.110335488911,134.870910609446,-5.5553378349493,-20.2974805772523,-2.5279682852045,16.463260008362,-60.8135211932382,6.0183541104997,33.2383363485368,34.3358688306808,3.01183937035058e-12,"Blood-Monocytes",35.1,19.8
"loyfer_Blood-NK",-83.8657665825268,-144.21522513468,-24.7498731984306,47.551537658766,-1.76766544631183,34.2008907069168,112.939720776516,35.8041464018403,2.40261141798906,-11.6792008423139,11.4635458441438,-1.11481084963098e-12,"Blood-NK",35.1,19.8
"loyfer_Blood-T-CD4",-43.8133175970448,-193.118475965264,-17.601465003474,41.7206274373569,-19.9454331995023,42.7807101478718,-69.6810300499496,-28.8618447452662,13.2577468548424,-34.8065548212656,27.2506714444932,-2.51685562715683e-12,"Blood-T-CD4",35.1,19.8
"loyfer_Blood-T-CD8",-35.9583672503768,-183.548457391045,-35.1990676281217,54.8939713887825,-37.361730765425,49.0691226341691,-22.5602231660346,-9.43700623344216,-16.6016202581125,44.8603911554835,-33.7569162152475,-6.59604570969081e-12,"Blood-T-CD8",35.1,19.8
"loyfer_Bone_marrow-Erythrocyte_progenitors",-19.3081918292321,209.408511257708,-270.007451376195,98.192088230292,-61.6206465309114,0.0511811108487275,-1.92597009213877,-5.50114401717429,9.11110935290915,-2.19629153811429,1.00382359679296,1.20596654427265e-12,"Bone-marrow-Erythrocyte-progenitors",35.1,19.8
"loyfer_Vascular-Endothelium-META",199.673364684532,2.77725105198337,-26.8180070681514,-219.290728765141,-13.608893466422,36.0429878295395,4.63387942249428,6.17736314030131,61.0163334581162,7.66312316858778,-4.01161865598901,3.10231279825841e-12,"Vascular-Endothelium",35.1,19.8
"loyfer_Liver-Endothelium",124.911543772032,-1.40463871206255,-39.5711531596119,-153.587420555971,-36.8699652297573,-27.3402508951484,-3.07998493201721,10.6270993465092,-80.1325555986843,-3.2299108938347,14.5275140261674,3.58051542809611e-12,"Liver-Endothelium",35.1,19.8
"loyfer_Liver-Hepatocytes",425.574934933365,43.6874578677012,114.053219130241,165.930984846871,25.2689871062929,-10.0183159509637,1.11151408871121,6.22380569306086,-0.00196063554986009,2.67650705138502,4.50029142140921,-4.75110504859423e-12,"Liver-Hepatocytes",35.1,19.8
"loyfer_Liver-Macrophages",-50.0171689890348,67.1675117018456,91.2906063253426,-22.0920363157909,-10.7453217458846,-8.06060737372519,24.8203983799179,-67.8296208391692,-8.01520470276386,-35.7496071222822,-41.4590173865377,2.43389475166449e-12,"Liver-Macrophages",35.1,19.8
